,Skills,Link
Desenvolver site com consulta a um banco de dados,"HTML5, PHP, Python",https://www.99freelas.com.br//project/desenvolver-site-com-consulta-a-um-banco-de-dados-344417?fs=t
Programação webscraper (coleta de dados em sites),"Python, Scrapy",https://www.99freelas.com.br//project/programacao-webscraper-coleta-de-dados-em-sites-344415?fs=t
Robô da roleta BET365 - grupo no Telegram,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-grupo-no-telegram-344220?fs=t
Projeto Cassino Roleta - Bet365,"Desenvolvimento de API, Programação, Programação C, Programação de PC, Python",https://www.99freelas.com.br//project/projeto-cassino-roleta-bet365-344152?fs=t
Criar API de comunicação com o site Betano,Python,https://www.99freelas.com.br//project/criar-api-de-comunicacao-com-o-site-betano-343839?fs=t
Robô de Sinais para casa de apostas Blaze,"CSS, HTML, Javascript, PHP, Python",https://www.99freelas.com.br//project/robo-de-sinais-para-casa-de-apostas-blaze-344095?fs=t
Bot telegram blaze double,Python,https://www.99freelas.com.br//project/bot-telegram-blaze-double-344090?fs=t
Automatização de IQ Option/Quotex via chatbot Telegram,"Chatbot, Desenvolvimento de API, Javascript, Python, Web API",https://www.99freelas.com.br//project/automatizacao-de-iq-option-quotex-via-chatbot-telegram-343979?fs=t
Automação de apostas na Blaze com grupo de sinais do Telegram,Criativo,https://www.99freelas.com.br//project/automacao-de-apostas-na-blaze-com-grupo-de-sinais-do-telegram-343859?fs=t
Robô da roleta Bet365 - grupo no Telegram,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-grupo-no-telegram-343808?fs=t
Robô de apostas automáticas ,Python,https://www.99freelas.com.br//project/robo-de-apostas-automaticas-343743?fs=t
Bot automatizador de taxas para IQ Option e Quotex,"Javascript, Python",https://www.99freelas.com.br//project/bot-automatizador-de-taxas-para-iq-option-e-quotex-343723?fs=t
IA | Identificação de padrões de dados,"Inteligência Artificial, Python, Ruby",https://www.99freelas.com.br//project/ia-identificacao-de-padroes-de-dados-343703?fs=t
Bot de sinal pra Telegram Blaze Double,Python,https://www.99freelas.com.br//project/bot-de-sinal-pra-telegram-blaze-double-343681?fs=t
Copy trader para IQ Option e Quotex,"Javascript, Python",https://www.99freelas.com.br//project/copy-trader-para-iq-option-e-quotex-343680?fs=t
Robô da roleta BET365                                       ,"NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-343649?fs=t
Bot para Telegram para comunicação em grupos,"Desenvolvimento Mobile, Desenvolvimento Web, Python",https://www.99freelas.com.br//project/bot-para-telegram-para-comunicacao-em-grupos-343647?fs=t
Robôs automatizados Telegram,"Programação, Programação C, Programação C#, Programação C++, Python",https://www.99freelas.com.br//project/robos-automatizados-telegram-343567?fs=t
Robô da roleta BET365                                                      ,".NET Framework, NodeJS, Python, Selenium",https://www.99freelas.com.br//project/robo-da-roleta-bet365-343551?fs=t
Modelo de otimização em Python ,"Pesquisa Operacional, Python",https://www.99freelas.com.br//project/modelo-de-otimizacao-em-python-343527?fs=t
Automatizador para Corretora Bitness,"Desenvolvimento de Software, MQL4, Programação, Python",https://www.99freelas.com.br//project/automatizador-para-corretora-bitness-343517?fs=t
Criação de Automação RPA/IA - Web,"Automação de processos robóticos, Desenvolvimento AI/RPA, MongoDB, NoSQL, Python",https://www.99freelas.com.br//project/criacao-de-automacao-rpa-ia-web-343487?fs=t
Código de Inteligência Artificial/NLP,Python,https://www.99freelas.com.br//project/codigo-de-inteligencia-artificial-nlp-343401?fs=t
Bot Telegram Gerenciamento De Assinaturas Kiwify,"HTTP, Python",https://www.99freelas.com.br//project/bot-telegram-gerenciamento-de-assinaturas-kiwify-343201?fs=t
Bot - Blaze double para apostas,"PHP, Python",https://www.99freelas.com.br//project/bot-blaze-double-para-apostas-343197?fs=t
Programação para Cassino da Bet365 e Betano ,"Análise de Sistemas, Programação, Python",https://www.99freelas.com.br//project/programacao-para-cassino-da-bet365-e-betano-343175?fs=t
Bot automatizador de estratégias e catalogador,"Banco De Dados, Desenvolvimento de API, Programação, Python",https://www.99freelas.com.br//project/bot-automatizador-de-estrategias-e-catalogador-343083?fs=t
Script para OCR de placa em python,"Keras, OpenCV , Python",https://www.99freelas.com.br//project/script-para-ocr-de-placa-em-python-342883?fs=t
Robô aposta automática - Bet365/Betfair,Python,https://www.99freelas.com.br//project/robo-aposta-automatica-bet365-betfair-342769?fs=t
Pegar dados na bet365 e colocar no banco de dados,"Javascript, Python",https://www.99freelas.com.br//project/pegar-dados-na-bet365-e-colocar-no-banco-de-dados-342672?fs=t
Especialista em Python e VPS Contabo,"Python, VPS",https://www.99freelas.com.br//project/especialista-em-python-e-vps-contabo-342588?fs=t
Robô aposta automática blaze - Telegram,Python,https://www.99freelas.com.br//project/robo-aposta-automatica-blaze-telegram-342538?fs=t
Copytrader para Iq option usando Python ,Sem pré-requisitos,https://www.99freelas.com.br//project/copytrader-para-iq-option-usando-python-342396?fs=t
Rastreio de E-mails (Número de Pedido de Compra) ,"Google APIs, Google Sheets, Javascript, Microsoft Outlook, Python",https://www.99freelas.com.br//project/rastreio-de-e-mails-numero-de-pedido-de-compra-342167?fs=t
Conversor de JSON para CWR,"NodeJS, PHP, Python",https://www.99freelas.com.br//project/conversor-de-json-para-cwr-342142?fs=t
Arquivos/Fotos no Google Drive através do Google Planilhas,"Google APIs, Google Sheets, Javascript, Python",https://www.99freelas.com.br//project/arquivos-fotos-no-google-drive-atraves-do-google-planilhas-342076?fs=t
Sala de sinais para aviator,Python,https://www.99freelas.com.br//project/sala-de-sinais-para-aviator-342005?fs=t
Ajustar módulo de ERP já desenvolvido,"Python, React",https://www.99freelas.com.br//project/ajustar-modulo-de-erp-ja-desenvolvido-341908?fs=t
Manutenção em Bot Sinais Blaze em Python,Python,https://www.99freelas.com.br//project/manutencao-em-bot-sinais-blaze-em-python-341724?fs=t
API na Betano para cassinos ao vivo e aviator,Python,https://www.99freelas.com.br//project/api-na-betano-para-cassinos-ao-vivo-e-aviator-341641?fs=t
Criar um bot para Telegram - Blaze,"Programação, Python",https://www.99freelas.com.br//project/criar-um-bot-para-telegram-blaze-341531?fs=t
Bot para Telegram - Cassino Roleta,"Chatbot, Python",https://www.99freelas.com.br//project/bot-para-telegram-cassino-roleta-341528?fs=t
Integração de ERP médico com planos de saúde,"Javascript, Python",https://www.99freelas.com.br//project/integracao-de-erp-medico-com-planos-de-saude-341413?fs=t
Robô / API IQ Option / Quotex para copy trading,"Programação, Programação C#, Programação de Banco de Dados, Programação Orientada a Objetos, Python",https://www.99freelas.com.br//project/robo-api-iq-option-quotex-para-copy-trading-341341?fs=t
Robô automatizado blaze na nuvem / desktop,"Construção de Website, Desenvolvimento Web, PHP, Python",https://www.99freelas.com.br//project/robo-automatizado-blaze-na-nuvem-desktop-341322?fs=t
Site de análise de resultados - futebol virtual,"CSS, HTML5, Javascript, JSON, Python",https://www.99freelas.com.br//project/site-de-analise-de-resultados-futebol-virtual-341156?fs=t
Robô automático para roleta - Bet365 ,"Javascript, MySQL, PHP, Python",https://www.99freelas.com.br//project/robo-automatico-para-roleta-bet365-341149?fs=t
Programador Python / Odoo,Python,https://www.99freelas.com.br//project/programador-python-odoo-341062?fs=t
Loja online com possibilidades de mudar os títulos e as imagens ,"CSS3, HTML5, Javascript, MySQL, Python",https://www.99freelas.com.br//project/loja-online-com-possibilidades-de-mudar-os-titulos-e-as-imagens-340993?fs=t
Robô para automatizar entradas enviadas do Telegram para a bet365,Python,https://www.99freelas.com.br//project/robo-para-automatizar-entradas-enviadas-do-telegram-para-a-bet365-340532?fs=t
Robô de arbitragem em criptomoedas,"Java, Python",https://www.99freelas.com.br//project/robo-de-arbitragem-em-criptomoedas-340334?fs=t
Desenvolvedor Django para projeto em andamento,"Bootstrap, Django, Flask, Python",https://www.99freelas.com.br//project/desenvolvedor-django-para-projeto-em-andamento-340140?fs=t
Criação de sistema de aplicativo para máquina de estacionamento,"PDV, Python",https://www.99freelas.com.br//project/criacao-de-sistema-de-aplicativo-para-maquina-de-estacionamento-339752?fs=t
Decompilar um programa para fazer um igual (python),Python,https://www.99freelas.com.br//project/decompilar-um-programa-para-fazer-um-igual-python-339723?fs=t
Instalação do Whaticket customizado,"Chatbot, CRM, NodeJS, Python, Webservice",https://www.99freelas.com.br//project/instalacao-do-whaticket-customizado-339513?fs=t
Normalizar arquivo TXT para o formato XSL via Pandas (Python),"Expressão Regular (Regex), Python",https://www.99freelas.com.br//project/normalizar-arquivo-txt-para-o-formato-xsl-via-pandas-python-339493?fs=t
Robô replicador de entradas na Bet365,"Arquitetura de Dados, Python",https://www.99freelas.com.br//project/robo-replicador-de-entradas-na-bet365-339404?fs=t
Bot para Telegram com envio de sinais,Sem pré-requisitos,https://www.99freelas.com.br//project/bot-para-telegram-com-envio-de-sinais-339036?fs=t
Trading bot para executar ordens automaticamente,"Documentação de API, NodeJS, Python",https://www.99freelas.com.br//project/trading-bot-para-executar-ordens-automaticamente-338846?fs=t
Robô para Roleta Manual da Bet365,"Javascript, Python",https://www.99freelas.com.br//project/robo-para-roleta-manual-da-bet365-338635?fs=t
Integrar código Python a consultas programadas (cloud functions/cloud run) ,Sem pré-requisitos,https://www.99freelas.com.br//project/integrar-codigo-python-a-consultas-programadas-cloud-functions-cloud-run-338464?fs=t
Monitoramento de resultado e automação de apostas roleta bet 365,"Banco De Dados, Desenvolvimento de API, Programação C, Programação C++, Python",https://www.99freelas.com.br//project/monitoramento-de-resultado-e-automacao-de-apostas-roleta-bet-365-338440?fs=t
Script para busca de informações                                       ,"Inteligência Artificial, Javascript, Python",https://www.99freelas.com.br//project/script-para-busca-de-informacoes-338427?fs=t
Api com django rest de login                                           ,"Django, Python",https://www.99freelas.com.br//project/api-com-django-rest-de-login-338397?fs=t
Plataforma para Análise de Futebol Virtual - Bet365,"CSS, HTML, Javascript, Python",https://www.99freelas.com.br//project/plataforma-para-analise-de-futebol-virtual-bet365-338339?fs=t
Robô de apostas no cassino,"Javascript, Python",https://www.99freelas.com.br//project/robo-de-apostas-no-cassino-338309?fs=t
Programador Python com experiência em previsão de venda,"Análise Estatística, Inteligência Artificial, Modelagem Estatística, Python",https://www.99freelas.com.br//project/programador-python-com-experiencia-em-previsao-de-venda-338191?fs=t
Comparador de imagens em Python ,"Python, Pytorch",https://www.99freelas.com.br//project/comparador-de-imagens-em-python-338146?fs=t
Bot para speedway e futebol virtual,Python,https://www.99freelas.com.br//project/bot-para-speedway-e-futebol-virtual-338076?fs=t
Selecionar vários arquivos de uma pasta a partir de uma listagem de nomes,"Programação, Programação C, Programação C#, Programação C++, Python",https://www.99freelas.com.br//project/selecionar-varios-arquivos-de-uma-pasta-a-partir-de-uma-listagem-de-nomes-337956?fs=t
Criação de automação para operar criptomoedas pela Binance ,"Programação, Python",https://www.99freelas.com.br//project/criacao-de-automacao-para-operar-criptomoedas-pela-binance-337493?fs=t
Robô que lê grupo do telegram e faz entrada na roleta bet365,Python,https://www.99freelas.com.br//project/robo-que-le-grupo-do-telegram-e-faz-entrada-na-roleta-bet365-336842?fs=t
Aulas para aprender a manipular planilhas do googledocs via interface grafi,Sem pré-requisitos,https://www.99freelas.com.br//project/aulas-para-aprender-a-manipular-planilhas-do-googledocs-via-interface-grafi-336821?fs=t
Manipular app web com spreadsheet,Sem pré-requisitos,https://www.99freelas.com.br//project/manipular-app-web-com-spreadsheet-336674?fs=t
Bot para Telegram - Futebol Virtual Bet365,"Arquitetura Java, Javascript, Python",https://www.99freelas.com.br//project/bot-para-telegram-futebol-virtual-bet365-336645?fs=t
Robô para Telegram API - Blaze Double,"Java, Python",https://www.99freelas.com.br//project/robo-para-telegram-api-blaze-double-336438?fs=t
Robô automático roleta bet,"Javascript, MySQL, PHP, Python",https://www.99freelas.com.br//project/robo-automatico-roleta-bet-336285?fs=t
Aplicativo para bloqueio de compra e venda em plataforma de investimento,"MySQL, Python, Selenium",https://www.99freelas.com.br//project/aplicativo-para-bloqueio-de-compra-e-venda-em-plataforma-de-investimento-336208?fs=t
Desenvolvimento de aplicativo para gestão de compras e estoque,"AJAX, Django, Javascript, Python",https://www.99freelas.com.br//project/desenvolvimento-de-aplicativo-para-gestao-de-compras-e-estoque-336114?fs=t
Programa que pega imagens fixa e que se movem e realiza condições ,"Javascript, Python",https://www.99freelas.com.br//project/programa-que-pega-imagens-fixa-e-que-se-movem-e-realiza-condicoes-333482?fs=t
